[2026-05-12 11:49:57] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37562 | mensaje: client_id=send-2; group_id=1; seq=16; timestamp_ms=1778586597261; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:57] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37572 | mensaje: client_id=send-3; group_id=1; seq=16; timestamp_ms=1778586597299; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:57] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37578 | mensaje: client_id=send-5; group_id=1; seq=16; timestamp_ms=1778586597333; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:57] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37590 | mensaje: client_id=send-4; group_id=1; seq=16; timestamp_ms=1778586597344; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:58] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37600 | mensaje: client_id=send-1; group_id=1; seq=17; timestamp_ms=1778586598235; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:58] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37616 | mensaje: client_id=send-2; group_id=1; seq=17; timestamp_ms=1778586598273; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:58] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37626 | mensaje: client_id=send-3; group_id=1; seq=17; timestamp_ms=1778586598318; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:58] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37640 | mensaje: client_id=send-4; group_id=1; seq=17; timestamp_ms=1778586598347; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:58] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37650 | mensaje: client_id=send-5; group_id=1; seq=17; timestamp_ms=1778586598353; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:59] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37662 | mensaje: client_id=send-1; group_id=1; seq=18; timestamp_ms=1778586599240; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:59] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37678 | mensaje: client_id=send-2; group_id=1; seq=18; timestamp_ms=1778586599285; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:59] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37688 | mensaje: client_id=send-3; group_id=1; seq=18; timestamp_ms=1778586599329; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:59] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37694 | mensaje: client_id=send-5; group_id=1; seq=18; timestamp_ms=1778586599361; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:59] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37698 | mensaje: client_id=send-4; group_id=1; seq=18; timestamp_ms=1778586599364; message=prueba 5 emisores grupo 1
[2026-05-12 11:50:00] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37708 | mensaje: client_id=send-1; group_id=1; seq=19; timestamp_ms=1778586600247; message=prueba 5 emisores grupo 1
[2026-05-12 11:50:00] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37712 | mensaje: client_id=send-2; group_id=1; seq=19; timestamp_ms=1778586600293; message=prueba 5 emisores grupo 1
[2026-05-12 11:50:00] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37718 | mensaje: client_id=send-3; group_id=1; seq=19; timestamp_ms=1778586600334; message=prueba 5 emisores grupo 1
[2026-05-12 11:50:00] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37726 | mensaje: client_id=send-5; group_id=1; seq=19; timestamp_ms=1778586600372; message=prueba 5 emisores grupo 1
[2026-05-12 11:50:00] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37732 | mensaje: client_id=send-4; group_id=1; seq=19; timestamp_ms=1778586600383; message=prueba 5 emisores grupo 1
[2026-05-12 11:50:01] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37738 | mensaje: client_id=send-1; group_id=1; seq=20; timestamp_ms=1778586601264; message=prueba 5 emisores grupo 1
[2026-05-12 11:50:01] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37752 | mensaje: client_id=send-2; group_id=1; seq=20; timestamp_ms=1778586601306; message=prueba 5 emisores grupo 1
